Gene,PMID,Evidence
UCP2,21935467,"Genipin, a plant derived small molecule, suppressed the UCP2 led tumorigenic properties, which were mediated by decreased reactive oxygen species and down-regulation of UCP2."
CD44,22110198,"Here, we investigated the effect of silibinin (a polyphenolic flavonolignan of the herbal plant of Silybum marianum, milk thistle) on the epidermal growth factor (EGF) ligand-induced CD44 expression in human breast cancer cells."
Epidermal growth factor,22110198,"Here, we investigated the effect of silibinin (a polyphenolic flavonolignan of the herbal plant of Silybum marianum, milk thistle) on the epidermal growth factor (EGF) ligand-induced CD44 expression in human breast cancer cells."
IkappaBalpha,22135900,Our results also showed that both extracts significantly affected IkappaBalpha phosphorylation in a dose-dependent manner.
IkappaBalpha,22135900,"The effect of ethyl acetate extract was comparable to the effect of curcumin, a known NF-kappaB pathway inhibitor, and seemed to be the most active inhibitor of H2O2-dependent IkappaBalpha phosphorylation."
BRCA1,22339411,"We investigated the putative effects on DNA methylation by two naturally occurring isoflavones, genistein and daidzein, in a study of the BRCA1 and BRCA2 oncosuppressor genes in breast cancer cell lines (MCF-7, MDA-MB 231, and MCF10a)."
BRCA2,22339411,"We investigated the putative effects on DNA methylation by two naturally occurring isoflavones, genistein and daidzein, in a study of the BRCA1 and BRCA2 oncosuppressor genes in breast cancer cell lines (MCF-7, MDA-MB 231, and MCF10a)."
FAS,22380770,"Since a n-hexane-soluble extract from Ginkgo biloba was demonstrated to inhibit FAS activity in our preliminary test, we isolated active compounds from the n-hexane-soluble extract and evaluated their cytotoxic activity in human cancer cells."
Fatty acid synthase,22380770,Inhibition of fatty acid synthase by ginkgolic acids from the leaves of Ginkgo biloba and their cytotoxic activity.
STAT3,22438130,Chrysanthemum indicum L. extract induces apoptosis through suppression of constitutive STAT3 activation in human prostate cancer DU145 cells.
TSC2,22607231,Natural product-derived antitumor compound phenethyl isothiocyanate inhibits mTORC1 activity via TSC2.
CYP1A1,22752086,"Furthermore, fractionation of this extract yielded fraction F2, which exhibited enforced pro-apoptotic activity, and activated CYP1A1."
CYP1A1,22752086,"In summary, the methanol extract and the derivative fraction F2 of S. spinosa showed anti-neoplastic effects in HL-60 cells and CYP1A1 activation in estrogen receptor-positive MCF-7 breast cancer cells but not in estrogen-negative MDA-MB231 breast cancer cells."
p21,22752086,This revealed that the methanol extract increased the levels of p21 and this may have caused cell cycle attenuation.
p65,22895629,"As determined by western blot analysis, Huaier extract dose-dependently decreased the levels of phosphorylated extracellular signal-regulated kinase (ERK), transcription factor p65, c-Jun N-terminal kinase (JNK), signal transducer and activator of transcriptionÂ 3 (STAT3) and the expression of vascular endothelial growth factor (VEGF)."
AKT,22941571,"Moreover, previous studies have shown that Pg extracts decrease inflammation in lung cancer cell lines by inhibiting phosphatidylinositol-3,4,5-trisphosphate (PI3K)-dependent phosphorylation of AKT in vitro and inhibiting the activation of NF-kB in vivo."
AKT,22941571,Pg extract also induced SHIP-1 expression and this was accompanied by downregulation of miRNA-155 and inhibition of PI3K-dependent phosphorylation of AKT.
AR,23165347,The relationship between expression levels of AR and multidrug resistance markers in relation to the measured toxicity of herbal extracts in our head and neck cancer cell system is critically discussed.
AR,23165347,The relationship between expression levels of AR and multidrug resistance markers in relation to the measured toxicity of herbal extracts in our head and neck cancer cell system is critically discussed.
ER,23210246,"These results suggested that C-Ex does not activate or inactivate ERalpha in a direct manner, but the extracts may affect factors in ER signal transduction pathway."
JAK3,23238254,"Furthermore, serum-deprived cells in culture show an upregulated EGFR/JAK3/PLD2-PA system and are especially sensitive to a combination of JAK3 and PLD2 enzymatic activity inhibitors (30nM apigenin and 300nM 5-fluoro-2-indolyl des-chlorohalopemide (FIPI), respectively)."
PLD2,23238254,"Furthermore, serum-deprived cells in culture show an upregulated EGFR/JAK3/PLD2-PA system and are especially sensitive to a combination of JAK3 and PLD2 enzymatic activity inhibitors (30nM apigenin and 300nM 5-fluoro-2-indolyl des-chlorohalopemide (FIPI), respectively)."
EMT,23283523,"Since epithelial-mesenchymal transition (EMT) plays a critical role in cancer progression and in maintaining cancer stem cell properties, EMT is emerging as a therapeutic target for inhibiting the metastatic progression of cancer cells. 2'-Hydroxycinnamaldehyde (HCA) and its derivative, 2'-benzoyloxycinnamaldehyde, have recently been suggested as promising therapeutic candidates for cancer treatment."
EMT,23283523,This study demonstrates the anti-metastatic effect of the non-toxic natural compound HCA through attenuation of EMT in a breast cancer model.
CDK1,23351311,"Other study reported that genistein isolated from Glycine max seed inhibited phosphorylation of cdk1, gene involved during G2/M transition and thus could function as G2 checkpoint abrogator."
Cyclin D1,23351343,"CONCLUSION: Taken together, our results establish that the antitumor activity of the pericarp extract of Baneh partly is mediated via cell cycle arrest and downregulation of cyclin D1 and cdk4 expression."
Cyclin D1,23351343,Induction of G1 cell cycle arrest and cyclin D1 down-regulation in response to pericarp extract of Baneh in human breast cancer T47D cells.
CDK4,23351343,RESULTS: Baneh extract induced G0/G1 cell cycle arrest in conjunction with a marked decrease in expression of cyclin D1 and cdk4 that was strongly dependent on time of exposure.
BIRC5 survivin,23451065,Mitotic arrest and apoptosis in breast cancer cells induced by Origanum majorana extract: upregulation of TNF-Î± and downregulation of survivin and mutant p53.
AKT1,23464484,Knockdown of endogenous AKT1 or AKT2 in breast cancer cells by RNA interference determined the sensitivity to I. nertschinskia ethanol extract compared to control cells.
AKT2,23464484,Knockdown of endogenous AKT1 or AKT2 in breast cancer cells by RNA interference determined the sensitivity to I. nertschinskia ethanol extract compared to control cells.
ABCG2,23497885,"In this study, we have investigated the interactions between ABCG2 and 56 naturally-occurring phytochemicals including phenolic acids, flavonoids, triterpenes and other common dietary phytochemicals, as well as two non plant-based compounds (hippuric acid and propyl gallate) using cell- and membrane-based transport inhibition assays."
ABCG2,23497885,"The identified inhibitory activity of dietary phytochemicals on ABCG2 provides a framework for further investigation of ABCG2-modulated phytochemical bioavailability, MDR, and possible food-drug interactions."
EMT,23516540,"In the present study, we investigated the inhibitory effect of beta-elemene (ELE), an active component of a natural plant-derived anti-neoplastic agent in an established EMT model mediated by transforming growth factor-beta1 (TGF-Î²1)."
Epidermal growth factor,23645733,"In addition, broussoflavonol B treatment also reduced the steady, state levels of the Human epidermal growth factor receptor-2 (HER2) and ER-Î±36, a variant of ER-Î±. Our results, thus, indicate that broussoflavonol B is a potent growth inhibitor of ER-negative breast cancer stem-like cells and provide a rationale for pre-clinical and clinical evaluation of broussoflavonol B for breast cancer therapy."
NANOG,23662114,Cyclohexylmethyl Flavonoids Suppress Propagation of Breast Cancer Stem Cells via Downregulation of NANOG.
NOX4,23688500,"Here we show (1) that TGF-Î² induces ROS production in breast cancer 4T1 cells and enhances cell migration and that the effect of TGF-Î² depends on NOX4 expression, (2) that knockdown of NOX4 via RNAi significantly decreases the migration ability of 4T1 cells in the presence or absence of TGF-Î² and significantly attenuates distant metastasis of 4T1 cells to lung and bone, (3) that Schisandrin B (Sch B), a naturally occurring dibenzocyclooctadiene lignan with very low toxicity, is a novel NOX inhibitor and its IC50 toward NOX4 is 9.3Î¼M, and (4) that Sch B suppresses TGF-Î²-induced and NOX4-associated ROS production in 4T1 cells and inhibits TGF-Î²-enhanced cell migration."
Survivin,23694763,"In contrast, over-expressing Î²-catenin by adenoviral vector system in TNBC cells reversed the antitumor activity of naringin, and regulated p21 and survivin."
p21,23694763,"In contrast, over-expressing Î²-catenin by adenoviral vector system in TNBC cells reversed the antitumor activity of naringin, and regulated p21 and survivin."
ER,23768005,"Rhodoeosein and emodin may have potential therapeutic applications as natural products activating ERÎ², and further characterization of rhodoeosein is necessary to evaluate its selectivity as a cell type-specific ER agonist."
Epidermal growth factor,23769740,"In addition, Broussoflavonol B treatment also decreased the steady state levels of the epidermal growth factor receptor (EGFR) and ER-Î±36, a variant of estrogen receptor-Î±, and restricted growth of the stem-like cells in ER-negative breast cancer MDA-MB-231 cells."
CYP1A2,23844611,"MATERIALS AND METHODS: Corms of Hypoxis were water-extracted and incubated (in graded concentrations: 1-100â€‰Âµg/mL) with human liver microsomes (20â€‰min) to monitor the effects on phenacetin O-deethylation, coumarin 7-hydroxylation, bupropion hydroxylation, paclitaxel 6Î±-hydroxylation, diclofenac 4'-hydroxylation, S-mephenytoin 4'-hydroxylation, bufuralol 1'-hydroxylation, chlorzoxazone 6-hydroxylation, midazolam 1'-hydroxylation and testosterone 6Î²-hydroxylation as markers for the metabolic activities of CYP1A2, 2A6, 2B6, 2C8, 2C9, 2C19, 2D6, 2E1 and 3A4/5, respectively."
CYP1A2,23844611,"RESULTS: Extracts of Hypoxis inhibited the production of the metabolites of the substrates of the following enzymes (as compared to controls) with the indicated IC50 values (Âµg/mL): CYP1A2 (120.6), CYP2A6 (210.8), CYP2B6 (98.5), CYP2C8 (195.2), CYP2C9 (156) and CYP3A4/5 (185.4)."
CYP2A6,23844611,"RESULTS: Extracts of Hypoxis inhibited the production of the metabolites of the substrates of the following enzymes (as compared to controls) with the indicated IC50 values (Âµg/mL): CYP1A2 (120.6), CYP2A6 (210.8), CYP2B6 (98.5), CYP2C8 (195.2), CYP2C9 (156) and CYP3A4/5 (185.4)."
CYP2B6,23844611,"RESULTS: Extracts of Hypoxis inhibited the production of the metabolites of the substrates of the following enzymes (as compared to controls) with the indicated IC50 values (Âµg/mL): CYP1A2 (120.6), CYP2A6 (210.8), CYP2B6 (98.5), CYP2C8 (195.2), CYP2C9 (156) and CYP3A4/5 (185.4)."
CYP2C8,23844611,"RESULTS: Extracts of Hypoxis inhibited the production of the metabolites of the substrates of the following enzymes (as compared to controls) with the indicated IC50 values (Âµg/mL): CYP1A2 (120.6), CYP2A6 (210.8), CYP2B6 (98.5), CYP2C8 (195.2), CYP2C9 (156) and CYP3A4/5 (185.4)."
CYP2C9,23844611,"RESULTS: Extracts of Hypoxis inhibited the production of the metabolites of the substrates of the following enzymes (as compared to controls) with the indicated IC50 values (Âµg/mL): CYP1A2 (120.6), CYP2A6 (210.8), CYP2B6 (98.5), CYP2C8 (195.2), CYP2C9 (156) and CYP3A4/5 (185.4)."
Vimentin,24069380,"Withaniasomnifera root extracts (WRE) have anti-proliferative activity and the active component, Withaferin A, inhibits the pro-metastatic protein, vimentin."
STAT3,24194785,"In the present study, we tested whether Trichosanthes kirilowii ethanol extract (TKE) or CuD suppresses cell growth and induces apoptosis through inhibition of STAT3 activity in breast cancer cells."
STAT3,24194785,Trichosanthes kirilowii Ethanol Extract and Cucurbitacin D Inhibit Cell Growth and Induce Apoptosis through Inhibition of STAT3 Activity in Breast Cancer Cells.
FAS,24362821,Natural FAS inhibitors are emerging as potential therapeutic agents to treat cancer.
Fatty acid synthase,24362821,"Inhibitory effect of desoxyrhaponticin and rhaponticin, two natural stilbene glycosides from the Tibetan nutritional food Rheum tanguticum Maxim. ex Balf., on fatty acid synthase and human breast cancer cells."
Tumor necrosis factor,24465597,We used the cell line for the in vitro evaluation of natural compounds and in vivo optical imaging of tumor necrosis factor TNFÎ±-induced NF-ÎºB activation.
Catalase,24517259,"Activities of the antioxidant enzymes, catalase, superoxide dismutase, glutathione peroxidase, and of the caspases-3, -8 and -9 were assayed on treatment with the extract."
PARP,24571090,"Western blot analysis demonstrated that EtOH and n-hexane extracts upregulated Bax expression, also it induced cleavage of PARP in HeLa cells compared to the control."
LRP6,24607787,"We found that rottlerin, a natural plant polyphenol, suppressed LRP6 expression and phosphorylation, and inhibited Wnt/Î²-catenin signaling in HEK293 cells."
Epidermal growth factor,24615943,Modulation of estrogen and epidermal growth factor receptors by rosemary extract in breast cancer cells.
HER2,24615943,"Here, we analyzed the antitumor activities of a supercritical fluid rosemary extract (SFRE) in different breast cancer cells, and used a genomic approach to explore its effect on the modulation of ER-Î± and HER2 signaling pathways, the most important mitogen pathways related to breast cancer progression."
Aryl hydrocarbon receptor,24649031,"Our results suggested that the inhibitory effects of the Ginkgo biloba extract on estrogen receptor-negative breast cancer proliferation and the induction of CYP1B1 expression may be exerted through an alternative pathway, independent of the estrogen receptor or the aryl hydrocarbon receptor pathway."
CYP1B1,24649031,"In addition, treatment with ginkgo fruit extract resulted in a higher CYP1B1 expression in MDA-MB-231 cells compared to treatment with the Ginkgo biloba leaves extract."
CYP1B1,24649031,"Our results suggested that the inhibitory effects of the Ginkgo biloba extract on estrogen receptor-negative breast cancer proliferation and the induction of CYP1B1 expression may be exerted through an alternative pathway, independent of the estrogen receptor or the aryl hydrocarbon receptor pathway."
PI3K,24881818,The grapefruit flavanone naringenin (Nar) is an inhibitor of both the PI3K and MAPK pathways.
CCR7,24883070,"The level of expression of proteins E-cadherin and E-cadherin mRNA was significantly increased, while proteins SDF-1, CCR7, and CXCR4 mRNA were decreased after being incubated with petroleum ether extracts of Curcuma zedoaria at the concentrations of 300â€‰ Î¼ g/mL than control (P < 0.05)."
CXCR4,24883070,"The level of expression of proteins E-cadherin and E-cadherin mRNA was significantly increased, while proteins SDF-1, CCR7, and CXCR4 mRNA were decreased after being incubated with petroleum ether extracts of Curcuma zedoaria at the concentrations of 300â€‰ Î¼ g/mL than control (P < 0.05)."
Aromatase,24929094,"Among various naturally occurring, biologically active compounds, resveratrol and melatonin have been suggested to act as aromatase inhibitors, which make them potential candidates in hormonal treatment of breast cancer."
Aromatase,24929094,"Both melatonin and resveratrol were found to be aromatase inhibitors in this co-culture system, albeit at different concentrations."
IL-17,24962397,"Moreover, the evaluation of a great panel of cytokines expressed by MCF-7 and MDA-MB-231 cells showed that the levels of VEGF and nine pro-inflammatory cytokines (IL-2, IL-6, IL-12, IL-17, IP-10, MIP-1Î±, MIP-1Î², MCP-1 and TNF-Î±) decreased in a dose dependent way with increasing amounts of the hydrophilic extracts of PSO, supporting the evidence of an anti-inflammatory effect."
ALOX5 5-LOX,25050787,A. theophrasti extract inhibits soybean 5-LOX with IC50 value 2.89 Â± 0.2 mg/mL.
EGF,25051266,"Treatment with TorilisÂ japonica extract (TJE) along with stimulation by EGF prevented changes in cell morphology, mobility, expression of actin polarization proteins and EMT markers."
EGFR,25051266,"Torilis japonica extract, a new potential EMT suppressor agent by regulation of EGFR signaling pathways."
EMT,25051266,"Torilis japonica extract, a new potential EMT suppressor agent by regulation of EGFR signaling pathways."
EMT,25051266,"Treatment with TorilisÂ japonica extract (TJE) along with stimulation by EGF prevented changes in cell morphology, mobility, expression of actin polarization proteins and EMT markers."
HER2,25089037,"Knowing that curcumin has been used as food to inhibit cancer activity, this study evaluated the efficacy of natural curcumins and curcumin analogs as HER2 inhibitors using in vitro and in silico studies."
EGF,25209720,"RESULTS: Expression of exogenous HER2, a member of the EGF receptor gene family, in the human MCF-10AT preneoplastic mammary epithelial cell line formed a new breast cancer cell line, 10AT-Her2, which is highly enriched in cells with stem/progenitor cell-like character. 10AT-Her2 cells display a CD44+/CD24-/low phenotype with high levels of the cancer stem/progenitor cell marker proteins nucleostemin, and active aldehyde dehydrogenase-1."
STAT3,25301089,"The purpose of this study is to investigate whether the natural agent 1'-acetoxychavicol acetate (ACA), derived from the rhizomes and seeds of Languas galanga, could suppress breast cancer metastasis by targeting STAT3 signaling pathway."
uPAR,25333945,"The aim of this study was to investigate the effect of a SCL ethanol extract (SCLE) on the proliferation and migration of MDA-MB-231 human breast cancer cells, as well as the expression of urokinase plasminogen activator (uPA), uPA receptor (uPAR) and tissue inhibitors of metalloproteinases (TIMPs)."
uPAR,25333945,"The aim of this study was to investigate the effect of a SCL ethanol extract (SCLE) on the proliferation and migration of MDA-MB-231 human breast cancer cells, as well as the expression of urokinase plasminogen activator (uPA), uPA receptor (uPAR) and tissue inhibitors of metalloproteinases (TIMPs)."
Octamer-binding transcription factor 4,27136586,"Ova dose-dependently downregulated the expression of stemness genes, octamer-binding transcription factor 4 (Oct4) and Nanog, as well as heat shock protein 27 (Hsp27), but upregulated SMAD ubiquitin regulatory factor 2 (SMURF2) in mammosphere cells derived from AS-B145 or BT-474."
Transgelin,25442283,"The purpose of this study was to investigate the role of transgelin 2 in human breast cancer paclitaxel resistance cell line (MCF-7/PTX) and the reversal mechanism of salvianolic acid A (SAA), a phenolic active compound extracted from Salvia miltiorrhiza."
p21,25469660,Blockage of p21 expression by small interfering RNA transfection attenuated G1 phase arrest induced by WD-3 extract.
PHB prohibitin,25483453,"Here, we focus on whether XN directly binds to the tumour suppressor protein prohibitin 2 (PHB2), forming a novel natural antitumour compound targeting the BIG3-PHB2 complex and acting as a pivotal modulator of E2/ERÎ± signalling in breast cancer cells."
PI3K,25560707,"To identify the putative antiproliferative mechanism, the major metabolites and the complete extract were assayed for cell cycle, MAPK and PI3K proliferation pathways modulation."
CCL2,25621970,"Human lung cancer A549 and breast cancer MDA-MB-231 cells increase TADCs to express high levels of CCL2, which increase cancer stem cell features, migration, and invasion, as well as immunosuppressive tumor-associated macrophage infiltration. 6-Shogaol decreases cancer-induced up-regulation of CCL2 in TADCs, preventing the enhancing effects of TADCs on tumorigenesis and metastatic properties in A549 and MDA-MB-231 cells."
EMT,25686495,"Further analysis revealed that baicalin and baicalein, the major flavones of these butanol extracts, inhibited TGF-Î²1-mediated EMT by reducing the expression level of the EMT-related transcription factor, Slug via the NF-ÎºB pathway, and subsequently increased migration in MCF10A cells."
EMT,25686495,"Interestingly, butanol extracts of Scutellaria baicalensis Georgi significantly reduced the TGF-Î²1-mediated EMT of MCF10A cells."
EMT,25686495,"Since the epithelial-mesenchymal transition (EMT) is involved in many crucial functions of cancer cells, we set out to identify a natural compound capable of inhibiting EMT processes."
CAT,25694787,"The highest dose of the extract (250â€‰mg/kg) recorded a fold increase of 1.68 for SOD, 2.49 for GST, and 3.2 for CAT."
CDK4,25789847,"Phytochemical treatments inhibited the luciferase activity of a construct containing the wild-type 3'UTR of CDK4, but not those with a mutated miR-34a binding site, whereas, transfection of miR-34a inhibitors ablated the phytochemical mediated down-regulation of CDK4 and induction of cell cycle arrest."
CDK4,25789847,"Real-time PCR and western blot analysis of extracted RNA and total protein revealed artemsinin and artesunate increased miR-34a expression in a dose-dependent manner correlating with down-regulation of the miR-34a target gene, CDK4."
p21,25797115,"GeXP-based multiplex system was employed to investigate the expression of p53, p21, Bax and Bcl-2 genes in MCF-7 cells treated with DCM-DS."
PR,25844270,"CONCLUSION: Taken together, these data suggest that kaempferol is a unique natural PR modulator that activates PR signaling in vitro and in vivo without triggering PR degradation."
AKT,25885960,CONCLUSIONS: H. syriacus extracts might inhibit breast cancer cell viability and induce apoptosis by activating p53 family regulated pathways and inhibiting AKT activation.
BNIP3,25891311,"Silibinin, a natural flavonoid, induces autophagy via ROS-dependent mitochondrial dysfunction and loss of ATP involving BNIP3 in human MCF7 breast cancer cells."
EMT,25969134,"Here, we provide evidences that natural product derivative 3-azido Withaferin A (3-AWA) abrogated EMT and invasion by modulating Î²-catenin localization and its transcriptional activity in the prostate as well as in breast cancer cells."
HER2,26134366,Sensitization of HER2 Positive Breast Cancer Cells to Lapatinib Using Plants-Derived Isothiocyanates.
COMT,26206423,"RESULTS: The MGTT screened more than 100,000 mammograms and randomized 1,075 participants based on treatment (green tea extract vs. placebo), stratified by COMT genotype activity (high COMT vs. low/intermediate COMT genotype activity)."
MPA,26312209,"Furthermore, LU blocked MPA-induced acquisition of stem cell-like properties by breast cancer cells."
PARP,26350251,Our study indicates that cotreatment of curcumin and PARP inhibitor might be useful for the combination chemotherapy for aggressive breast cancer treatment as a natural bioactive compound.
DNMT1,26372775,"In the present study, we investigated the effects of sulforaphane (SFN), a phytochemical from cruciferous vegetables, on the methylation and expression of PTEN and RARbeta2 tumour suppressor genes as well as on the expression of regulators of DNA methylation reaction, DNMT1 , p53 , and p21 , in MCF-7 and MDA-MB-231 human breast cancer cells with different invasive potential."
p21,26372775,"In the present study, we investigated the effects of sulforaphane (SFN), a phytochemical from cruciferous vegetables, on the methylation and expression of PTEN and RARbeta2 tumour suppressor genes as well as on the expression of regulators of DNA methylation reaction, DNMT1 , p53 , and p21 , in MCF-7 and MDA-MB-231 human breast cancer cells with different invasive potential."
PTEN,26372775,"In the present study, we investigated the effects of sulforaphane (SFN), a phytochemical from cruciferous vegetables, on the methylation and expression of PTEN and RARbeta2 tumour suppressor genes as well as on the expression of regulators of DNA methylation reaction, DNMT1 , p53 , and p21 , in MCF-7 and MDA-MB-231 human breast cancer cells with different invasive potential."
Progesterone receptor,26614455,"In the present study, in vitro assay systems, including cell proliferation assay, reporter gene assay, and RT-PCR to evaluate the mRNA expression of estrogen-related genes (pS2 and progesterone receptor, PR), were performed in human breast cancer cells."
GATA3,26682631,"Previously, we observed that wild yam (Dioscorea villosa) root extract (WYRE) was able to activate GATA3 in human breast cancer cells targeting epigenome."
PLP2,26703544,"Methanolic extract was the only sample showing cytotoxic effects on the tested human tumor cell lines, but none of the samples showed toxicity in PLP2."
Cyclin D1,26745047,Our reuslts indicated that GL root extract arrested the proliferation of MCF-7 cells in G1 phase through inhibition of CDK4 and cyclin D1 via increased induction of p21 and p27.
Cyclin D1,26745047,RT-PCR and Western blot analysis both revealed that GL root extract significantly increased the expression of p21 and p27 with an accompanyingdecrease in both CDK4 and cyclin D1.
CDK4,26745047,Our reuslts indicated that GL root extract arrested the proliferation of MCF-7 cells in G1 phase through inhibition of CDK4 and cyclin D1 via increased induction of p21 and p27.
CDK4,26745047,RT-PCR and Western blot analysis both revealed that GL root extract significantly increased the expression of p21 and p27 with an accompanyingdecrease in both CDK4 and cyclin D1.
p21,26745047,Our reuslts indicated that GL root extract arrested the proliferation of MCF-7 cells in G1 phase through inhibition of CDK4 and cyclin D1 via increased induction of p21 and p27.
p21,26745047,RT-PCR and Western blot analysis both revealed that GL root extract significantly increased the expression of p21 and p27 with an accompanyingdecrease in both CDK4 and cyclin D1.
p27,26745047,Our reuslts indicated that GL root extract arrested the proliferation of MCF-7 cells in G1 phase through inhibition of CDK4 and cyclin D1 via increased induction of p21 and p27.
p27,26745047,RT-PCR and Western blot analysis both revealed that GL root extract significantly increased the expression of p21 and p27 with an accompanyingdecrease in both CDK4 and cyclin D1.
EMT,26759241,"However, we discovered that resveratrol, a naturally occurring compound, induced Î²-TrCP-mediated Twist1 degradation to attenuate MK-2206-induced EMT in breast cancer cells."
MMP2,26831282,"Additionally, western blotting showed decreased expression of MMP2, MMP9 and VEGF with the use of Huaier extract."
MMP9,26831282,"Additionally, western blotting showed decreased expression of MMP2, MMP9 and VEGF with the use of Huaier extract."
MRP2,26852865,"In conclusion, SR ingestion increased the systemic exposure and MRT of MTX via modulation on MRP2 and BCRP."
Cyclin D1,26926171,The involvement of cyclin D1 degradation through GSK3Î²-mediated threonine-286 phosphorylation-dependent nuclear export in anti-cancer activity of mulberry root bark extracts.
EGFR,26958085,"Here, we investigate the therapeutic potential of Ganoderma lucidum extract (GLE) in breast cancer, focusing on the regulation of the EGFR signaling cascade when treated with the EGFR TKI, Erlotinib."
p21,27028817,These results suggest that the extracts might induce cell cycle arrest at G0/G1 with p21 attributing to this molecular mechanism.
ER,27043076,"Furthermore, in drug interaction studies daidzin-rich isoflavone extracts antagonized tamoxifen, an ER inhibitor."
Epidermal growth factor,27073579,Hinokitiol inhibits vasculogenic mimicry activity of breast cancer stem/progenitor cells through proteasome-mediated degradation of epidermal growth factor receptor.
Hsp27,27136586,"In summary, our data reveal that Ova displays an anti-CSC activity through SMURF2-mediated downregulation of Hsp27. Ova could be further developed as an anti-CSC agent in the treatment of breast cancer."
Connective tissue growth factor,27178635,Nelumbo nucifera Gaertn leaves extract inhibits the angiogenesis and metastasis of breast cancer cells by downregulation connective tissue growth factor (CTGF) mediated PI3K/AKT/ERK signaling.
HER2,27221932,Recent drug discovery efforts have demonstrated that naturally occurring polyphenolic compounds like delphinidin have potential to inhibit proliferation and promote apoptosis of breast cancer cells by targeting HER2 receptors.
PAL,27234523,"Compared with control plants, MeJA-treated sweet potato exhibited the highest PAL activity, followed by SA and ABA treatment."
CD4,27253407,"Moreover, the tumor protective effects of P2Et treatment were abolished in immunodeficient mice, and partially lost after CD4 and CD8 depletion, indicating that P2Et's anti-tumor activity is highly dependent on immune system and at least in part of T cells."
Interferon gamma,27253407,"We further demonstrate that P2Et-treated tumor cells are highly immunogenic in vaccinated mice and induce immune system activation, clearly shown by the generation of interferon gamma (IFN-Î³) producing tyrosine-related protein 2 antigen-specific CD8+ T cells."
Caspase 3,27268658,"Flow cytometry results showed that the extract arrested the cell cycle at S phase, and the increase in the caspase 3 activity suggested that the extract could induce cell apoptosis by a caspase mediated pathway."
Fatty acid synthase,27291048,BACKGROUND: Natural products inhibiting fatty acid synthase are potential therapeutic agents to treat cancer.
Fatty acid synthase,27291048,"OBJECTIVE: To investigate the chemical constituents of the root tubers of Lindera aggregate and the stems of Linderanacusua, and to find natural inhibitors on the expression level on fatty acid synthase in human breast cancer MDA-MB-231 cells."
HER2,27449398,"SIGNIFICANCE: The study identified two citrus fruit flavonoids, NG and HP as HER2-TK inhibitors and this is the first report on their potential to target preferentially and sensitize HER2 positive cancer cells to cell death."
Uncoupling protein 2,27451963,"Genipin, a natural dietary compound that blocks uncoupling protein 2 (UCP2)-mediated mitochondrial proton leakage, is a potential anticancer agent."
BMI1,27550987,"All three compounds reduced cell survival, but only the natural compound downregulated BMI1 protein expression; curcumin significantly reduced BMI1 levels more than bisdemethoxycurcumin and dimethoxycurcumin."
BMI1,27550987,"BMI1 is downregulated by the natural compound curcumin, but not by bisdemethoxycurcumin and dimethoxycurcumin."
BMI1,27550987,"Curcumin, a major phytochemical in turmeric (Curcuma longa), inhibits the proliferation and survival of many types of cancer cells, both inÂ vitro and inÂ vivo, and has been reported to reduce BMI1 expression in breast cancer cells."
CYP19A1,27585256,"Additionally, the effects of these extracts on tissue-specific promoter expression of CYP19A1 gene in cell culture model (MCF-7) were assessed using qRT-PCR."
CYP19A1,27585256,"Potential effect of Olea europea leaves, Sonchus oleraceus leaves and Mangifera indica peel extracts on aromatase activity in human placental microsomes and CYP19A1 expression in MCF-7 cell line: Comparative study."
Aromatase,27585256,"Potential effect of Olea europea leaves, Sonchus oleraceus leaves and Mangifera indica peel extracts on aromatase activity in human placental microsomes and CYP19A1 expression in MCF-7 cell line: Comparative study."
Aromatase,27585256,The effects of these three extracts on aromatase activity in human placental microsomes were evaluated.
STAT3,27671827,"Garcinol, a polyisoprenylated benzophenone, obtained from plant Garcinia indica has been found to be an effective inhibitor of several key regulatory pathways (e.g., NF-kB, STAT3 etc.) in cancer cells, thereby being able to control malignant growth of solid tumours in vivo."
Epidermal growth factor,27755942,Extracts of Scrophularia frigida Boiss display potent antitumor effects in human breast cancer cells by inducing apoptosis and inhibition of expression of the human epidermal growth factor receptor 2.
Epidermal growth factor,27755942,"It is suggested that the extracts exert their anti-proliferative effect through multiple implications such as suppressing growth, arresting the cell cycle, increased DNA fragmentation, downregulation of the expression of human epidermal growth factor receptor 2 and myeloid cell Leukemia-1, and upregulation of pro-apoptotic messenger RNAs like caspase-3 and caspase-9."
Epidermal growth factor receptor,27755942,Extracts of Scrophularia frigida Boiss display potent antitumor effects in human breast cancer cells by inducing apoptosis and inhibition of expression of the human epidermal growth factor receptor 2.
Epidermal growth factor receptor,27755942,"It is suggested that the extracts exert their anti-proliferative effect through multiple implications such as suppressing growth, arresting the cell cycle, increased DNA fragmentation, downregulation of the expression of human epidermal growth factor receptor 2 and myeloid cell Leukemia-1, and upregulation of pro-apoptotic messenger RNAs like caspase-3 and caspase-9."
BCL2,27931178,DISCUSSION AND CONCLUSIONS: The results demonstrated that root extracts promote apoptosis by suppressing BCL2 via mitochondria-dependent or independent manner.
MRP2,28043125,"Therefore, we screened a library of 124 natural compounds and their derivatives using the vesicular transport assay to evaluate their inhibitory potential on MRP2 and BCRP."
CCL2,28090590,"CONCLUSION: WS root extract inhibited proliferation of breast cancer cells in vitro and in vivo and significantly reduced expression of the cytokine, CCL2."
